"","x","y","sci.name","mod","climate_proj","ToE"
"264",-67.625,43.375,"Glyptocephalus cynoglossus","CNRM","2-6",2015
"265",-67.625,43.375,"Glyptocephalus cynoglossus","CNRM","8-5",2059
"266",-67.625,43.375,"Glyptocephalus cynoglossus","GFDL","8-5",2015
"267",-67.625,43.375,"Glyptocephalus cynoglossus","HAD","2-6",2015
"268",-67.625,43.375,"Glyptocephalus cynoglossus","HAD","8-5",2016
"269",-67.625,43.375,"Glyptocephalus cynoglossus","IPSL","2-6",2071
"270",-67.625,43.375,"Glyptocephalus cynoglossus","IPSL","8-5",2090
"271",-67.625,43.375,"Hippoglossoides platessoides","AWI","2-6",2017
"272",-67.625,43.375,"Hippoglossoides platessoides","AWI","8-5",2031
"273",-67.625,43.375,"Hippoglossoides platessoides","CNRM","2-6",2093
"274",-67.625,43.375,"Hippoglossoides platessoides","CNRM","8-5",2100
"275",-67.625,43.375,"Hippoglossoides platessoides","GFDL","8-5",2029
"276",-67.625,43.375,"Hippoglossoides platessoides","HAD","2-6",2039
"277",-67.625,43.375,"Hippoglossoides platessoides","HAD","8-5",2094
"278",-67.625,43.375,"Hippoglossoides platessoides","IPSL","2-6",2021
"279",-67.625,43.375,"Hippoglossoides platessoides","IPSL","8-5",2016
"280",-67.625,43.375,"Hippoglossus hippoglossus","AWI","2-6",2058
"281",-67.625,43.375,"Hippoglossus hippoglossus","AWI","8-5",2097
"282",-67.625,43.375,"Hippoglossus hippoglossus","CNRM","2-6",2096
"283",-67.625,43.375,"Hippoglossus hippoglossus","CNRM","8-5",2100
"284",-67.625,43.375,"Hippoglossus hippoglossus","GFDL","8-5",2100
"285",-67.625,43.375,"Hippoglossus hippoglossus","HAD","2-6",2036
"286",-67.625,43.375,"Hippoglossus hippoglossus","HAD","8-5",2100
"287",-67.625,43.375,"Hippoglossus hippoglossus","IPSL","2-6",2099
"288",-67.625,43.375,"Hippoglossus hippoglossus","IPSL","8-5",2030
"289",-67.625,43.375,"Illex illecebrosus","AWI","2-6",2085
"290",-67.625,43.375,"Illex illecebrosus","AWI","8-5",2015
"291",-67.625,43.375,"Illex illecebrosus","CNRM","2-6",2058
"292",-67.625,43.375,"Illex illecebrosus","CNRM","8-5",2019
"293",-67.625,43.375,"Illex illecebrosus","GFDL","8-5",2057
"294",-67.625,43.375,"Illex illecebrosus","HAD","2-6",2077
