"climate_proj","species","benchmark","max","min","comp","id","functional_group","facet_lab"
"8-5","Illex illecebrosus",2025,NA,NA,0,"8-5-2025-Illex illecebrosus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Melanogrammus aeglefinus",2025,NA,NA,0,"8-5-2025-Melanogrammus aeglefinus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Leucoraja erinacea",2025,NA,NA,0,"8-5-2025-Leucoraja erinacea","Benthic fish","RCP 8.5"
"8-5","Caretta caretta",2025,NA,NA,0,"8-5-2025-Caretta caretta","Mammals/Reptiles","RCP 8.5"
"8-5","Lophius americanus",2025,NA,NA,0,"8-5-2025-Lophius americanus","Benthic fish","RCP 8.5"
"8-5","Eubalaena glacialis",2025,NA,NA,0,"8-5-2025-Eubalaena glacialis","Mammals/Reptiles","RCP 8.5"
"8-5","Hyperoodon ampullatus",2025,NA,NA,0,"8-5-2025-Hyperoodon ampullatus","Mammals/Reptiles","RCP 8.5"
"8-5","Pandalus borealis",2025,NA,NA,0,"8-5-2025-Pandalus borealis","Benthic Invertebrates","RCP 8.5"
"8-5","Lamna nasus",2025,NA,NA,0,"8-5-2025-Lamna nasus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Squalus acanthias",2025,NA,NA,0,"8-5-2025-Squalus acanthias","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Urophycis tenuis",2025,NA,NA,0,"8-5-2025-Urophycis tenuis","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Carcharodon carcharias",2025,NA,NA,0,"8-5-2025-Carcharodon carcharias","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Leucoraja ocellata",2025,NA,NA,0,"8-5-2025-Leucoraja ocellata","Benthic fish","RCP 8.5"
"8-5","Glyptocephalus cynoglossus",2025,NA,NA,0,"8-5-2025-Glyptocephalus cynoglossus","Benthic fish","RCP 8.5"
"8-5","Homarus americanus",2050,NA,NA,0,"8-5-2050-Homarus americanus","Benthic Invertebrates","RCP 8.5"
"8-5","Cetorhinus maximus",2050,NA,NA,0,"8-5-2050-Cetorhinus maximus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Balaenoptera musculus",2050,NA,NA,0,"8-5-2050-Balaenoptera musculus","Mammals/Reptiles","RCP 8.5"
"8-5","Calanus finmarchicus",2050,NA,NA,0,"8-5-2050-Calanus finmarchicus","Copepod","RCP 8.5"
"8-5","Illex illecebrosus",2050,NA,NA,0,"8-5-2050-Illex illecebrosus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Leucoraja erinacea",2050,NA,NA,0,"8-5-2050-Leucoraja erinacea","Benthic fish","RCP 8.5"
"8-5","Caretta caretta",2050,NA,NA,0,"8-5-2050-Caretta caretta","Mammals/Reptiles","RCP 8.5"
"8-5","Lophius americanus",2050,NA,NA,0,"8-5-2050-Lophius americanus","Benthic fish","RCP 8.5"
"8-5","Eubalaena glacialis",2050,NA,NA,0,"8-5-2050-Eubalaena glacialis","Mammals/Reptiles","RCP 8.5"
