"","mod","climate_proj","year","mean.temp","temp.sd"
"260","HAD","2-6",2016,9.18971908767105,5.77586741295725
"261","HAD","2-6",2017,10.028692439176,5.49560025619715
"262","HAD","2-6",2018,10.0627613689422,5.79932148010263
"263","HAD","2-6",2019,8.48233424197552,5.21272666669936
"264","HAD","2-6",2020,8.37417156563903,5.07373388466978
"265","HAD","2-6",2021,8.98151511418961,5.80217000717318
"266","HAD","2-6",2022,9.16080337932888,5.20460429979537
"267","HAD","2-6",2023,8.7612974125388,5.47958194017623
"268","HAD","2-6",2024,9.52416953532495,5.71389223118723
"269","HAD","2-6",2025,8.74902568173391,5.17550562807144
"270","HAD","2-6",2026,8.91050941561453,5.57021359650658
"271","HAD","2-6",2027,9.1994051192205,5.65714279177957
"272","HAD","2-6",2028,9.60920540947953,5.12131205948809
"273","HAD","2-6",2029,9.95173858328473,5.56740252791519
"274","HAD","2-6",2030,9.26289676232428,5.44277143196017
"275","HAD","2-6",2031,8.88607921781442,5.34690122086757
"276","HAD","2-6",2032,9.02929877189786,5.71754112942778
"277","HAD","2-6",2033,9.05073574405068,5.40058336515839
"278","HAD","2-6",2034,9.6623887366444,5.7806156940544
"279","HAD","2-6",2035,10.1141395898561,5.2068990993487
"280","HAD","2-6",2036,10.1770507692027,6.05830204987701
"281","HAD","2-6",2037,9.18205577628431,5.57907831082439
"282","HAD","2-6",2038,9.16565132872225,6.1981762423054
"283","HAD","2-6",2039,10.5900978901838,5.46617662562054
"284","HAD","2-6",2040,10.2862513573039,5.67102519203157
"285","HAD","2-6",2041,9.79230595877573,5.68192959094573
"286","HAD","2-6",2042,11.5952337579932,5.29229024095768
"287","HAD","2-6",2043,10.1537714153439,5.39606502782471
"288","HAD","2-6",2044,11.2245411628158,5.49936003442888
"289","HAD","2-6",2045,11.0923885711443,5.59322424900758
"290","HAD","2-6",2046,10.6037921764633,5.2481923202275
"291","HAD","2-6",2047,11.0022409083396,5.85040260086358
"292","HAD","2-6",2048,11.3550685777021,5.38462162191189
"293","HAD","2-6",2049,11.3788233786406,5.78224998393116
"294","HAD","2-6",2050,10.8329395396014,5.74377415758673
"295","HAD","2-6",2051,10.0464164645472,6.16347759279352
"296","HAD","2-6",2052,11.1993489862675,5.65255944121142
"297","HAD","2-6",2053,11.1761189353635,5.78137968093934
"298","HAD","2-6",2054,11.1171218727696,5.3328008501223
"299","HAD","2-6",2055,11.0006356888867,5.38112975972455
"300","HAD","2-6",2056,10.9194841196853,5.64875059576267
"301","HAD","2-6",2057,10.4889010533283,4.96098629533451
"302","HAD","2-6",2058,9.93600437899453,5.42518202487708
"303","HAD","2-6",2059,10.1320858613402,5.28111804088471
"304","HAD","2-6",2060,11.1037052899458,5.27762377310704
"305","HAD","2-6",2061,10.1826735533016,5.53679595063465
"306","HAD","2-6",2062,10.9328853372141,5.65188714247086
"307","HAD","2-6",2063,10.1256417628278,5.21860467839862
"308","HAD","2-6",2064,10.3181875255279,5.25807860556579
"309","HAD","2-6",2065,10.7370770386918,5.65393130627161
"310","HAD","2-6",2066,11.169271844586,5.37922466911955
"311","HAD","2-6",2067,11.4861976716909,5.74171645945131
